headline,source,href,competition
Embarrassing Facebook history? New FaceWash app cleans your page,FOX News Chicago,http://www.myfoxchicago.com/story/20689709/new-facewash-app-washes-away-dirty-facebook-history,2013 Spring
App of the Week: FaceWash,ABC News,http://abcnews.go.com/blogs/technology/2013/01/app-of-the-week-facewash/,2013 Spring
"Meet Musical Toilet, the latest innovation in the 'connected bathroom'",PandoDaily,http://pandodaily.com/2013/01/22/meet-musical-toilet-the-latest-innovation-in-the-connected-bathroom/,2013 Spring
Philadelphia Open Data at PennApps,Philly MDO Blog,http://phillymdoblog.wordpress.com/2013/01/29/philadelphia-open-data-at-pennapps/,2013 Spring
PennApps Spring 2013,Mashery Developer Blog,http://masherydev.tumblr.com/post/41794147606/pennapps-spring-2013,2013 Spring
The fundamentals behind a successful hackathon,Opentok Blog,http://www.tokbox.com/blog/the-fundamentals-behind-a-successful-hackathon/,2013 Spring
PennApps Fall 2012: Bigger & Stronger,Mashery Developer Blog,http://masherydev.tumblr.com/post/33893543473/pennapps-fall-2012-bigger-stronger,2012 Fall
Best Mashups from PennApps 2012 Hackathon,programmableweb,http://blog.programmableweb.com/2012/01/18/best-mashups-from-pennapps-2012-hackathon/,2012 Spring
Undergrad Doers Take Aim At SOPA and PIPA at PennApps,Twilio,http://www.twilio.com/blog/2012/01/undergrad-doers-take-aim-at-sopa-and-pipa-at-pennapps.html,2012 Spring
Guest Post: 2012 Spring PennApps Hackathon - Simplicity,HACKCOLLEGE,http://www.hackcollege.com/blog/2012/01/19/guest-post-2012-spring-pennapps-hackathon-simplicity.html,2012 Spring
PennApps: how the University of Pennsylvania hackathon group started and whats next [VIDEO],TechnicallyPhilly,http://technicallyphilly.com/2011/09/22/pennapps-how-the-university-of-pennsylvania-hackathon-group-started-and-where-its-going,2011 Fall
"PennApps fall 2011: hacked microwave-driven video player wins $2,500",TechnicallyPhilly,http://technicallyphilly.com/2011/09/21/pennapps-fall-2011-hacked-microwave-driven-video-player-wins-2500,2011 Fall
SPIRIT OF A HACKATHON AND PENNAPPS 2011,Mashery Blog,http://blog.mashery.com/content/spirit-hackathon-and-pennapps-2011,2011 Fall
Students Hack Microwaves and Create a Digital Beer Snob with the Hunch API at PennApps,Hunch Blog,http://blog.hunch.com/?p=52544,2011 Fall
College Students Change The Hackathon Game At PennApps,Twilio Blog,http://www.twilio.com/blog/2011/09/college-students-change-the-hackathon-game-at-pennapps.html,2010 Fall
PennApps Hackathon 2012,Mozilla Blog,https://blog.mozilla.org/university/pennapps-hackathon-2012/,2012 Fall
Hacker Teams from Michigan Win Recognitions at PennApps Hackathon,University of Michigan Blog,http://www.eecs.umich.edu/eecs/about/articles/2012/Michigan_Hackers_at_PennApps.html,2012 Fall
College Hackers Gather in Philadelphia for PennApps Mobile,Twilio Blog,http://www.twilio.com/blog/2010/12/college-hackers-gather-in-philadelphia-for-pennapps-mobile.html,2010 Fall
Twilio on the Road in January: PennApps and Philly Startup Weekend,Twilio Blog,http://www.twilio.com/blog/2011/02/twilio-on-the-road-in-january-pennapps-and-philly-startup-weekend.html,2011 Spring
Mobile App Coders Rise to Challenge: PennApps draws a crowd,Monetate Blog,http://monetate.com/2011/01/mobile-app-coders-rise-to-challenge-pennapps-draws-a-crowd/#axzz1mqypRmYk,2011 Spring
Tropo Powers PennApps Mobile Winner,Tropo Blog,http://blog.tropo.com/2011/01/28/tropo-powers-pennapps-mobile-winner/,2011 Spring
Build the Next Generation of Mobile Apps in Philadelphia,Tropo Blog,http://blog.tropo.com/2011/01/06/build-the-next-generation-of-mobile-apps-in-philadelphia/,2011 Spring
PennApps 2012 Wrapup,AddThis Blog,http://www.addthis.com/blog/2012/09/18/pennapps-2012-wrapup/#.UGCgZbe9Kc,2012 Fall
Hack Your Facebook (All In Good Fun),AllFacebook,http://allfacebook.com/hack-my-facebook_b100047,2012 Fall
PennApps: The Hackathon that Changed Everything (for me),CloudMine Blog,http://blog.cloudmine.me/post/31994057610/pennapps-the-hackathon-that-changed-everything-for,2012 Fall
"Interesting hacks from PennApps, the largest student-run hackathon",Filepicker.io Blog,http://blog.filepicker.io/post/31883045359/interesting-hacks-from-pennapps-the-largest,2012 Fall
TIME TO OPEN A CAN OF PENNAPPS,IKANOW,http://www.ikanow.com/blog/09/07/time-to-open-a-can-of-pennapps/,2012 Fall
WHY PENNAPPS SHOULD BE PRESIDENT,IKANOW,http://www.ikanow.com/blog/09/12/why-pennapps-should-be-president/,2012 Fall
PENNAPPS 2012: A SUCCESS,IKANOW,http://www.ikanow.com/blog/09/19/pennapps-2012-a-success/,2012 Fall
PennApps Fall 2012: all-female team wins $4k first prize for music transcriber J.A.M.,TechnicallyPhilly,http://technicallyphilly.com/2012/09/17/pennapps-fall-2012-all-female-team-wins-4k-first-prize-for-music-transcriber-j-a-m-video,2012 Fall
"Site Lets You Simulate a Facebook Hack, Goes Viral at PennApps",Time Techland,http://techland.time.com/2012/09/19/site-lets-you-simulate-a-facebook-hack-goes-viral-at-pennapps/,2012 Fall
Students hack for 48 hours in PennApps hackathon,The Daily Pennsylvanian,http://www.thedp.com/article/2012/09/students-hack-for-48-hours-in-sixth-annual-hackathon,2012 Fall
Missing sleep in McClelland,The Daily Pennsylvanian,http://www.thedp.com/article/2012/09/max-scheiber-missing-sleep-in-mcclelland,2012 Fall
"This site lets you ""hack"" your Facebook to trick your friends",The Next Web,http://thenextweb.com/facebook/2012/09/19/this-site-lets-hack-facebook-trick-friends/,2012 Fall
Inside the largest student-run hackathon: A breeding ground for tech talent,VentureBeat,http://venturebeat.com/2012/09/20/pennapps/#s:pennapps2,2012 Fall
Yahoo! Sponsors @PennApps Hackathon,Yahoo! on Campus Blog,http://www.yoncampusblog.com/blog/2012/09/18/yahoo-sponsors-pennapps-hackathon/,2012 Fall
PayTango: Putting Payments at Your Fingertips--Literally,Inc.,http://www.inc.com/coolest-college-start-ups-2013/kathryn-dill/groudan-lau-kee-patel-reyes-paytango.html,2013 Spring
PennApps 2013 Hackathon Runner-Up SparkTab Could Be Your New Browser Start Page,TechCrunch,http://techcrunch.com/2013/01/21/pennapps-2013-hackathon-runner-up-sparktab-could-be-your-new-browser-start-page/,2013 Spring
"Mosaic Lets You Weave A Single Display From Multiple iPhones And iPads, Offers SDK For Developers",TechCrunch,http://techcrunch.com/2013/04/02/mosaic-lets-you-weave-a-single-display-from-multiple-iphones-and-ipads-offers-sdk-for-developers/,2013 Spring
Mosaic.io Recognized with Apple Design Award,Apple,https://developer.apple.com/wwdc/events/awards/,2013 Spring
Firefly: Making Screensharing Dead Simple,Inc.,http://www.inc.com/coolest-college-start-ups-2013/lindsay-blakely/dan-shipper-firefly.html,2012 Spring
PennApps: Largest student hackathon paves the road for innovative apps,Google Blog,http://googleforstudents.blogspot.com/2013/03/pennapps-largest-student-hackathon.html,2013 Spring
PennApps 2013 Event Recap,SendGrid Blog,http://blog.sendgrid.com/pennapps-2013-event-recap/,2013 Spring
PennApps Spring 2013,Mashery Blog,http://masherydev.tumblr.com/post/41794147606/pennapps-spring-2013,2013 Spring
"UPenn ""PennApps Hackathon"" 2013 Recap & winners!",Examiner,http://www.examiner.com/article/pennapps-hackathon-recap-winners,2013 Spring
TouchPad Microwave Hack Finds Videos That End Right When The Popcorn Is Ready,TechCrunch,http://techcrunch.com/2011/11/20/touchpad-microwave-hack-finds-videos-that-end-right-when-the-popcorn-is-ready/,2011 Fall
SoundCloud at PennApps,SoundCloud Blog,http://developers.soundcloud.com/blog/pennapps-recap,2013 Spring
PennApps hackathon delivers big results,FlyingKiteMedia,http://www.flyingkitemedia.com/innovationnews/PennApps0122.aspx,2013 Spring
The world's largest student-run hackathon isn't at Stanford or MIT; it's at Penn,PandoDaily,http://pandodaily.com/2013/01/21/the-worlds-largest-student-run-hackathon-isnt-at-stanford-or-mit-its-at-penn/,2013 Spring
"SimpleWash (FaceWash), the Easiest Way to Clean Up Your Facebook Page",Mashable,http://mashable.com/2013/03/10/simplewash/,2013 Spring
SimpleWash (FaceWash): And The Prize For Best 'Facebook Privacy Metaphor' Goes To...,Forbes,http://www.forbes.com/sites/kashmirhill/2013/02/12/and-the-prize-for-best-facebook-privacy-metaphor-goes-to/,2013 Spring
PennApps - The epitome of a college hackathon,Mashery Blog,http://masherydev.tumblr.com/post/18202060928/pennapps-the-epitome-of-a-college-hackathon,2012 Spring
"PennApps Spring 2013: Inventory, app that detects what's in your backpack, wins $4k at biggest university hackathon in the world",TechnicallyPhilly,https://technical.ly/philly/2013/01/21/pennapps-spring-2013-inventory-app-backpack/,2013 Spring
"PennApps Recap: EyePhone, Inventory, and Making Your Coffee Maker Text You",Twilio Blog,http://www.twilio.com/blog/2013/02/pennapps-recap-eyephone-inventory-and-making-your-coffee-maker-text-you.html,2013 Spring
Some PennApps prizewinning teams continue to develop their apps,The Daily Pennsylvanian,http://www.thedp.com/article/2013/03/some-pennapps-prizewinning-teams-continue-to-develop-their-apps,2013 Spring
PennApps Spring 2012,CloudMine Blog,http://blog.cloudmine.me/post/16415334499/pennapps-s2012,2012 Spring
Coders around country gather for PennApps hackathon,The Daily Pennsylvanian,http://www.thedp.com/article/2013/01/coders-around-country-gather-for-pennapps-hackathon,2013 Spring
