name,level,href
10gen,mezzanine,http://10gen.com
a16z,mezzanine,http://a16z.com
Addthis,mezzanine,http://www.addthis.com/
appnexus,ipo,http://appnexus.com
APT,series-a,http://www.predictivetechnologies.com
BCV,ipo,http://www.baincapitalventures.com/startupacademy/
Cloudmine,series-a,http://cloudmine.me
Codecademy,series-a,http://codecademy.com
color,ipo,http://color.com
Dropbox,mezzanine,http://dropbox.com/
ea,ipo,http://ea.com
Facebook,mezzanine,http://facebook.com
filepicker,ipo,http://filepicker.io
FirstRound,mezzanine,http://firstround.com/
github,ipo,http://github.com
Goldman,series-a,http://goldmansachs.com
Google,series-a,http://google.com
Greylock,series-a,http://greylock.com
hunch,ipo,http://hunch.com
ikanow,series-a,http://ikanow.com
janestreet,ipo,http://janestreet.com
KPCBFellows,ipo,http://kpcbfellows.com
lore,ipo,http://lore.com
MailChimp,mezzanine,http://mailchimp.com
mashery,ipo,http://mashery.com
Microsoft,series-a,http://microsoft.com
modis,ipo,http://modis.com
monetate,ipo,http://monetate.com
Mozilla,series-a,http://mozilla.com
NextDocs,mezzanine,http://www.nextdocs.com/
NYT,series-a,http://nytimes.com
optimizely,ipo,http://optimizely.com
Palantir,series-a,http://palantir.com
Quora,series-a,http://quora.com
QuotidianVentures,series-a,http://quotidianventures.com/
redbull,ipo,http://redbull.com
sears,ipo,http://www.shopyourway.com
sendgrid,ipo,http://sendgrid.com
SolveMedia,series-a,http://solvemedia.com
soundcloud,ipo,http://soundcloud.com
stickermule,ipo,http://stickermule.com/
tokbox,ipo,http://tokbox.com
tumblr,ipo,http://tumblr.com/
Twilio,series-a,http://twilio.com
twitter,ipo,http://twitter.com
Venmo,ipo,http://venmo.com
wep,ipo,http://entrepreneurship.wharton.upenn.edu/
Yahoo,mezzanine,http://yahoo.com
zappos,ipo,http://zappos.com
zynga,ipo,http://zynga.com
